bubble sort; number=0; length=10; min_time=0; mean_time=600490; time_error=490298.43249; min_comparisons=36; mean_comparisons=36; comparisons_error=0; min_swaps=16; mean_swaps=16; swaps_error=0; 
shaker sort; number=1; length=10; min_time=0; mean_time=800760; time_error=400380.24727; min_comparisons=36; mean_comparisons=36; comparisons_error=0; min_swaps=16; mean_swaps=16; swaps_error=0; 
selection sort; number=2; length=10; min_time=0; mean_time=500490; time_error=500490.11868; min_comparisons=45; mean_comparisons=45; comparisons_error=0; min_swaps=10; mean_swaps=10; swaps_error=0; 
insertion sort; number=3; length=10; min_time=0; mean_time=300250; time_error=458639.48642; min_comparisons=45; mean_comparisons=45; comparisons_error=0; min_swaps=26; mean_swaps=26; swaps_error=0; 
quick_sort; number=4; length=10; min_time=4002600; mean_time=4904660; time_error=831873.63127; min_comparisons=17; mean_comparisons=17; comparisons_error=0; min_swaps=12; mean_swaps=12; swaps_error=0; 
bubble sort; number=0; length=50; min_time=0; mean_time=500600; time_error=500602.46104; min_comparisons=2303; mean_comparisons=2303; comparisons_error=0; min_swaps=623; mean_swaps=623; swaps_error=0; 
shaker sort; number=1; length=50; min_time=1000800; mean_time=2802670; time_error=1722106.5275; min_comparisons=1274; mean_comparisons=1274; comparisons_error=0; min_swaps=623; mean_swaps=623; swaps_error=0; 
selection sort; number=2; length=50; min_time=0; mean_time=400430; time_error=490424.73235; min_comparisons=1225; mean_comparisons=1225; comparisons_error=0; min_swaps=50; mean_swaps=50; swaps_error=0; 
insertion sort; number=3; length=50; min_time=0; mean_time=200010; time_error=400020.33061; min_comparisons=1225; mean_comparisons=1225; comparisons_error=0; min_swaps=1659; mean_swaps=1659; swaps_error=0; 
quick_sort; number=4; length=50; min_time=4003400; mean_time=4704330; time_error=458822.91802; min_comparisons=255; mean_comparisons=255; comparisons_error=0; min_swaps=83; mean_swaps=83; swaps_error=0; 
bubble sort; number=0; length=100; min_time=0; mean_time=500550; time_error=500550.06193; min_comparisons=7920; mean_comparisons=7920; comparisons_error=0; min_swaps=2246; mean_swaps=2246; swaps_error=0; 
shaker sort; number=1; length=100; min_time=0; mean_time=900820; time_error=300273.76775; min_comparisons=4950; mean_comparisons=4950; comparisons_error=0; min_swaps=2246; mean_swaps=2246; swaps_error=0; 
selection sort; number=2; length=100; min_time=0; mean_time=500500; time_error=500500.33566; min_comparisons=4950; mean_comparisons=4950; comparisons_error=0; min_swaps=100; mean_swaps=100; swaps_error=0; 
insertion sort; number=3; length=100; min_time=0; mean_time=301420; time_error=460435.77142; min_comparisons=4950; mean_comparisons=4950; comparisons_error=0; min_swaps=5574; mean_swaps=5574; swaps_error=0; 
quick_sort; number=4; length=100; min_time=4002700; mean_time=4704190; time_error=459016.47345; min_comparisons=544; mean_comparisons=559.3; comparisons_error=5.1; min_swaps=197; mean_swaps=202.4; swaps_error=1.8; 
bubble sort; number=0; length=500; min_time=999800; mean_time=1301170; time_error=458975.88401; min_comparisons=247005; mean_comparisons=247005; comparisons_error=0; min_swaps=61423; mean_swaps=61423; swaps_error=0; 
shaker sort; number=1; length=500; min_time=1000100; mean_time=1901640; time_error=700591.75017; min_comparisons=122754; mean_comparisons=122754; comparisons_error=0; min_swaps=61423; mean_swaps=61423; swaps_error=0; 
selection sort; number=2; length=500; min_time=0; mean_time=800720; time_error=400360.4496; min_comparisons=124750; mean_comparisons=124750; comparisons_error=0; min_swaps=500; mean_swaps=500; swaps_error=0; 
insertion sort; number=3; length=500; min_time=999600; mean_time=1201090; time_error=400780.45973; min_comparisons=124750; mean_comparisons=124750; comparisons_error=0; min_swaps=196307; mean_swaps=196307; swaps_error=0; 
quick_sort; number=4; length=500; min_time=4002900; mean_time=4203840; time_error=400330.26915; min_comparisons=3139; mean_comparisons=3154.5; comparisons_error=46.5; min_swaps=1226; mean_swaps=1227.5; swaps_error=4.5; 
bubble sort; number=0; length=1000; min_time=3002700; mean_time=3703340; time_error=458458.68778; min_comparisons=935064; mean_comparisons=935064; comparisons_error=0; min_swaps=243379; mean_swaps=243379; swaps_error=0; 
shaker sort; number=1; length=1000; min_time=2001100; mean_time=2802520; time_error=400585.23138; min_comparisons=481518; mean_comparisons=481518; comparisons_error=0; min_swaps=243379; mean_swaps=243379; swaps_error=0; 
selection sort; number=2; length=1000; min_time=1000300; mean_time=1601470; time_error=490343.1269; min_comparisons=499500; mean_comparisons=499500; comparisons_error=0; min_swaps=1000; mean_swaps=1000; swaps_error=0; 
insertion sort; number=3; length=1000; min_time=1999200; mean_time=2402160; time_error=490789.1425; min_comparisons=499500; mean_comparisons=499500; comparisons_error=0; min_swaps=393825; mean_swaps=393825; swaps_error=0; 
quick_sort; number=4; length=1000; min_time=4001800; mean_time=4604250; time_error=664019.62358; min_comparisons=7937; mean_comparisons=8066.6; comparisons_error=43.2; min_swaps=2694; mean_swaps=2694.8; swaps_error=2.3999999998; 
bubble sort; number=0; length=2000; min_time=13011700; mean_time=14913510; time_error=3480260.3835; min_comparisons=3876061; mean_comparisons=3876061; comparisons_error=0; min_swaps=997549; mean_swaps=997549; swaps_error=0; 
shaker sort; number=1; length=2000; min_time=9007700; mean_time=9208310; time_error=400445.09848; min_comparisons=2050974; mean_comparisons=2050974; comparisons_error=0; min_swaps=997549; mean_swaps=997549; swaps_error=0; 
selection sort; number=2; length=2000; min_time=5003300; mean_time=5004500; time_error=688.47657912; min_comparisons=1999000; mean_comparisons=1999000; comparisons_error=0; min_swaps=2000; mean_swaps=2000; swaps_error=0; 
insertion sort; number=3; length=2000; min_time=8005300; mean_time=8007180; time_error=986.71171068; min_comparisons=1999000; mean_comparisons=1999000; comparisons_error=0; min_swaps=1228263; mean_swaps=1228263; swaps_error=0; 
quick_sort; number=4; length=2000; min_time=4003400; mean_time=4404030; time_error=490240.95718; min_comparisons=18671; mean_comparisons=19742; comparisons_error=357; min_swaps=5832; mean_swaps=5833.9; swaps_error=5.7000000008; 
bubble sort; number=0; length=3000; min_time=30027100; mean_time=30828090; time_error=748970.32845; min_comparisons=8946017; mean_comparisons=8946017; comparisons_error=0; min_swaps=2211417; mean_swaps=2211417; swaps_error=0; 
shaker sort; number=1; length=3000; min_time=19016700; mean_time=19617740; time_error=800832.60198; min_comparisons=4510496; mean_comparisons=4510496; comparisons_error=0; min_swaps=2211417; mean_swaps=2211417; swaps_error=0; 
selection sort; number=2; length=3000; min_time=10008600; mean_time=10709820; time_error=458184.64357; min_comparisons=4498500; mean_comparisons=4498500; comparisons_error=0; min_swaps=3000; mean_swaps=3000; swaps_error=0; 
insertion sort; number=3; length=3000; min_time=21017900; mean_time=21019230; time_error=646.60652641; min_comparisons=4498500; mean_comparisons=4498500; comparisons_error=0; min_swaps=4162432; mean_swaps=4162432; swaps_error=0; 
